,x,y,w,h,text,conf
0,0.0,0.0,3584.0,216.0, ,95.0
1,320.0,216.0,250.0,41.0, ,95.0
2,44.0,2.0,31.0,41.0,rg,19.0
3,115.0,12.0,87.0,22.0,iTerm2,93.0
4,245.0,13.0,57.0,21.0,Shell,95.0
5,346.0,13.0,45.0,20.0,Edit,86.0
6,433.0,13.0,58.0,20.0,View,85.0
7,533.0,13.0,93.0,21.0,Session,83.0
8,669.0,13.0,84.0,25.0,Scripts,76.0
9,796.0,13.0,89.0,20.0,Profiles,76.0
10,927.0,13.0,96.0,20.0,Toolbelt,91.0
11,1065.0,13.0,96.0,20.0,Window,80.0
12,1204.0,13.0,53.0,25.0,Help,80.0
13,3045.0,12.0,26.0,26.0,©,53.0
14,3109.0,12.0,24.0,24.0,Q,85.0
15,3172.0,12.0,28.0,26.0,S&S,22.0
16,3237.0,12.0,19.0,23.0,A,36.0
17,3295.0,12.0,118.0,24.0,ThutApr,0.0
18,3432.0,13.0,67.0,19.0,12:20,95.0
19,3510.0,13.0,35.0,19.0,PM,95.0
20,2730.0,122.0,87.0,25.0,python,93.0
21,2827.0,122.0,248.0,25.0,navigation/input.py,91.0
22,586.0,156.0,78.0,22.0,Spotify,90.0
23,672.0,166.0,12.0,2.0,-,58.0
24,693.0,156.0,48.0,18.0,Web,96.0
25,751.0,156.0,67.0,22.0,Player,96.0
26,952.0,158.0,16.0,16.0,x,88.0
27,1013.0,146.0,33.0,40.0,Pn),11.0
28,1064.0,156.0,135.0,18.0,MakeTreeDir,87.0
29,1209.0,166.0,2.0,2.0,-,90.0
30,1223.0,157.0,45.0,21.0,PyPI,17.0
31,1541.0,156.0,78.0,22.0,Writing,96.0
32,1628.0,158.0,21.0,16.0,to,96.0
33,1658.0,161.0,11.0,13.0,a,96.0
34,1679.0,156.0,37.0,18.0,File,96.0
35,1724.0,156.0,45.0,18.0,with,96.0
36,1779.0,156.0,82.0,22.0,Python’,13.0
37,1908.0,158.0,16.0,16.0,x,92.0
38,1980.0,154.0,24.0,24.0,oo,28.0
39,2360.0,215.0,35.0,19.0,261,95.0
40,2415.0,219.0,51.0,15.0,rows,95.0
41,2473.0,208.0,24.0,36.0,x,96.0
42,2512.0,215.0,10.0,19.0,6,96.0
43,2540.0,212.0,106.0,25.0,columns,89.0
44,2632.0,208.0,12.0,36.0,],71.0
45,2393.0,262.0,2.0,6.0,],0.0
46,2513.0,250.0,187.0,26.0,igation/input.,91.0
47,682.0,284.0,24.0,35.0,Ay,48.0
48,908.0,294.0,11.0,4.0,S,11.0
49,1168.0,284.0,32.0,32.0,@,66.0
50,1712.0,286.0,28.0,28.0,@,77.0
51,1896.0,286.0,28.0,28.0,@,66.0
52,2385.0,295.0,92.0,19.0,Wanna,0.0
53,2554.0,288.0,146.0,26.0,iano),0.0
54,2614.0,284.0,33.0,35.0,Ann,22.0
55,2652.0,284.0,18.0,35.0,OL,22.0
56,2684.0,284.0,24.0,35.0,am,0.0
57,2721.0,313.0,5.0,1.0,Oy,34.0
58,2554.0,326.0,135.0,26.0,tion/input,88.0
59,320.0,216.0,3264.0,52.0, ,95.0
60,320.0,268.0,3264.0,64.0, ,95.0
61,320.0,332.0,3264.0,46.0, ,95.0
62,320.0,378.0,253.0,65.0, ,95.0
63,1957.0,378.0,1627.0,65.0, ,95.0
64,2326.0,443.0,1258.0,52.0, ,95.0
65,2326.0,495.0,1258.0,61.0, ,95.0
66,2326.0,556.0,1258.0,70.0, ,95.0
67,2326.0,626.0,1258.0,72.0, ,95.0
68,2326.0,698.0,1258.0,52.0, ,95.0
69,2326.0,750.0,1258.0,36.0, ,95.0
70,2326.0,786.0,1258.0,32.0, ,95.0
71,2326.0,818.0,1258.0,65.0, ,95.0
72,2326.0,883.0,1258.0,62.0, ,95.0
73,2326.0,945.0,1258.0,57.0, ,95.0
74,0.0,1002.0,330.0,65.0, ,95.0
75,2326.0,1002.0,1258.0,115.0, ,95.0
76,570.0,226.0,16.0,21.0,@,70.0
77,611.0,225.0,213.0,21.0,stackabuse.com,89.0
78,573.0,394.0,49.0,26.0,For,97.0
79,633.0,394.0,143.0,33.0,"example,",96.0
80,789.0,394.0,19.0,26.0,if,96.0
81,818.0,402.0,46.0,18.0,we,96.0
82,876.0,394.0,118.0,26.0,wanted,96.0
83,1006.0,397.0,31.0,23.0,to,95.0
84,1051.0,394.0,73.0,32.0,print,95.0
85,1134.0,394.0,117.0,33.0,directly,96.0
86,1261.0,397.0,31.0,23.0,to,96.0
87,1305.0,402.0,15.0,18.0,a,96.0
88,1332.0,394.0,48.0,26.0,file,95.0
89,1392.0,394.0,123.0,26.0,without,96.0
90,1526.0,394.0,143.0,33.0,changing,96.0
91,1681.0,394.0,51.0,26.0,the,96.0
92,1745.0,394.0,89.0,26.0,entire,93.0
93,1847.0,394.0,110.0,33.0,script's,92.0
94,571.0,456.0,98.0,26.0,would,96.0
95,682.0,456.0,88.0,26.0,write:,95.0
96,573.0,568.0,88.0,25.0,import,96.0
97,682.0,573.0,42.0,20.0,sys,96.0
98,2810.0,574.0,2.0,2.0,:,0.0
99,2381.0,594.0,11.0,20.0,a,0.0
100,2392.0,594.0,71.0,20.0,eRomnne,0.0
101,2514.0,617.0,6.0,1.0,er,0.0
102,2558.0,594.0,31.0,6.0,cNennele,0.0
103,2684.0,607.0,58.0,9.0,"-py"",",78.0
104,2782.0,594.0,34.0,20.0,line,94.0
105,2835.0,595.0,19.0,21.0,"1,",94.0
106,2877.0,594.0,23.0,20.0,in,93.0
107,2918.0,595.0,108.0,19.0,<module>,92.0
108,572.0,639.0,168.0,26.0,print('This,89.0
109,759.0,645.0,107.0,20.0,message,95.0
110,883.0,640.0,61.0,20.0,will,96.0
111,964.0,640.0,27.0,20.0,be,96.0
112,1010.0,640.0,137.0,25.0,displayed,96.0
113,1166.0,645.0,28.0,15.0,on,95.0
114,1213.0,640.0,44.0,20.0,the,93.0
115,1277.0,639.0,133.0,23.0,screen.'),91.0
116,2401.0,632.0,78.0,24.0,import,94.0
117,2345.0,671.0,159.0,23.0,ImportError:,91.0
118,2526.0,671.0,24.0,19.0,No,96.0
119,2567.0,671.0,81.0,19.0,module,96.0
120,2666.0,671.0,66.0,19.0,named,92.0
121,2754.0,675.0,5.0,2.0,c,92.0
122,570.0,712.0,60.0,20.0,with,91.0
123,650.0,711.0,305.0,26.0,"open('filename.txt',",91.0
124,983.0,711.0,51.0,23.0,'w'),72.0
125,1057.0,717.0,27.0,15.0,as,92.0
126,1105.0,712.0,22.0,20.0,f:,92.0
127,635.0,747.0,167.0,26.0,print('This,92.0
128,822.0,753.0,107.0,20.0,message,96.0
